N°        MODEL           OUTPUT_SIZE     NEURONS         NUM_REFS        MODEL_SIZE      METHOD          THRESHOLD       PROBABILITY     TIME(ns)        RESULT         
1          0               2               256             0               2167816         BEST            0.80            0.999800        3208            OK             
1          0               2               256             0               2167816         BEST            0.85            0.999800        3208            OK             
1          0               2               256             0               2167816         BEST            0.90            0.999800        3208            OK             
1          0               2               256             0               2167816         BEST            0.95            0.999800        3208            OK             
211        0               2               256             0               2167816         BEST            0.50            0.999141        3222            OK             
1          0               2               256             0               2167816         BEST            0.55            0.999141        3222            OK             
1          0               2               256             0               2167816         BEST            0.60            0.999141        3222            OK             
1          0               2               256             0               2167816         BEST            0.65            0.999141        3222            OK             
1          0               2               256             0               2167816         BEST            0.70            0.999141        3222            OK             
1          0               2               256             0               2167816         BEST            0.75            0.999141        3222            OK             
1          0               2               256             0               2167816         BEST            0.80            0.999141        3222            OK             
1          0               2               256             0               2167816         BEST            0.85            0.999141        3222            OK             
1          0               2               256             0               2167816         BEST            0.90            0.999141        3222            OK             
1          0               2               256             0               2167816         BEST            0.95            0.999141        3222            OK             
221        0               2               256             0               2167816         BEST            0.50            0.999970        3203            OK             
1          0               2               256             0               2167816         BEST            0.55            0.999970        3203            OK             
1          0               2               256             0               2167816         BEST            0.60            0.999970        3203            OK             
1          0               2               256             0               2167816         BEST            0.65            0.999970        3203            OK             
1          0               2               256             0               2167816         BEST            0.70            0.999970        3203            OK             
1          0               2               256             0               2167816         BEST            0.75            0.999970        3203            OK             
1          0               2               256             0               2167816         BEST            0.80            0.999970        3203            OK             
1          0               2               256             0               2167816         BEST            0.85            0.999970        3203            OK             
1          0               2               256             0               2167816         BEST            0.90            0.999970        3203            OK             
1          0               2               256             0               2167816         BEST            0.95            0.999970        3203            OK             
231        0               2               256             0               2167816         BEST            0.50            0.995920        3199            OK             
1          0               2               256             0               2167816         BEST            0.55            0.995920        3199            OK             
1          0               2               256             0               2167816         BEST            0.60            0.995920        3199            OK             
1          0               2               256             0               2167816         BEST            0.65            0.995920        3199            OK             
1          0               2               256             0               2167816         BEST            0.70            0.995920        3199            OK             
1          0               2               256             0               2167816         BEST            0.75            0.995920        3199            OK             
1          0               2               256             0               2167816         BEST            0.80            0.995920        3199            OK             
1          0               2               256             0               2167816         BEST            0.85            0.995920        3199            OK             
1          0               2               256             0               2167816         BEST            0.90            0.995920        3199            OK             
1          0               2               256             0               2167816         BEST            0.95            0.995920        3199            OK             
241        0               2               256             0               2167816         BEST            0.50            0.999767        3250            OK             
1          0               2               256             0               2167816         BEST            0.55            0.999767        3250            OK             
1          0               2               256             0               2167816         BEST            0.60            0.999767        3250            OK             
1          0               2               256             0               2167816         BEST            0.65            0.999767        3250            OK             
1          0               2               256             0               2167816         BEST            0.70            0.999767        3250            OK             
1          0               2               256             0               2167816         BEST            0.75            0.999767        3250            OK             
1          0               2               256             0               2167816         BEST            0.80            0.999767        3250            OK             
1          0               2               256             0               2167816         BEST            0.85            0.999767        3250            OK             
1          0               2               256             0               2167816         BEST            0.90            0.999767        3250            OK             
1          0               2               256             0               2167816         BEST            0.95            0.999767        3250            OK             
251        0               2               256             0               2167816         BEST            0.50            0.994545        3206            OK             
1          0               2               256             0               2167816         BEST            0.55            0.994545        3206            OK             
1          0               2               256             0               2167816         BEST            0.60            0.994545        3206            OK             
1          0               2               256             0               2167816         BEST            0.65            0.994545        3206            OK             
1          0               2               256             0               2167816         BEST            0.70            0.994545        3206            OK             
1          0               2               256             0               2167816         BEST            0.75            0.994545        3206            OK             
1          0               2               256             0               2167816         BEST            0.80            0.994545        3206            OK             
1          0               2               256             0               2167816         BEST            0.85            0.994545        3206            OK             
1          0               2               256             0               2167816         BEST            0.90            0.994545        3206            OK             
1          0               2               256             0               2167816         BEST            0.95            0.994545        3206            OK             
261        0               2               256             0               2167816         BEST            0.50            1.000000        3192            OK             
1          0               2               256             0               2167816         BEST            0.55            1.000000        3192            OK             
1          0               2               256             0               2167816         BEST            0.60            1.000000        3192            OK             
